Ticker,Datetime,Signal Price,Trading Price,Shares,Direction,Free Cash,NR,id
AKRBP.OL,2023-07-31 - 09:15:00,280.4,281.2,42.0,Buy,140166.13,1,1ad76677-648d-4c99-a7ea-90e473df445b
AKRBP.OL,2023-07-31 - 09:30:00,281.0,280.1,42.0,Buy,127892.05,2,4b4d39f1-f9a8-4c18-aa9a-c91a8beee8bd
AKRBP.OL,2023-07-31 - 09:45:00,281.4,281.5,42.0,Buy,115600.5,3,c68f042c-12f9-4dfb-ba1a-4657fa901d3e
AKSO.OL,2023-07-31 - 09:45:00,45.44,45.3,176.0,Buy,107283.16,4,318297a2-4778-4082-bea8-c64963101ac6
AKSO.OL,2023-07-31 - 10:00:00,45.4,44.98,176.0,Buy,98973.14,5,f9304098-7d4d-4fb7-b27c-470bc2be9f73
AKSO.OL,2023-07-31 - 10:15:00,44.98,45.08,177.0,Buy,90693.22,6,d5a55c32-fd57-47e7-8873-ec86ae99a590
SHLF.OL,2023-07-31 - 15:00:00,24.85,25.05,321.0,Buy,82397.3,7,e0cd036f-a45a-419d-954c-3a463655ad57
SHLF.OL,2023-07-31 - 15:15:00,25.0,25.05,320.0,Buy,74077.3,8,0e615c6f-1233-4341-b91d-e7f5a66da2b6
SHLF.OL,2023-07-31 - 15:30:00,25.05,25.1,319.0,Buy,65766.71,9,376470ed-c711-470d-9765-2c8846245ff7
RECSI.OL,2023-07-31 - 15:45:00,17.195,17.22,465.0,Buy,57451.21,10,9457c99f-2456-4fe3-9185-ca4b47f6bd30
FRO.OL,2023-07-31 - 16:00:00,169.88,169.5,70.0,Buy,45083.95,11,9e461366-43d5-44d4-9fbd-207c22a7e0f6
BWLPG.OL,2023-08-01 - 09:00:00,106.8,106.3,112.0,Buy,32643.88,12,c8bbee35-a116-43f4-9890-4e9dd6d59acf
MPCC.OL,2023-08-01 - 09:00:00,18.49,18.49,648.0,Buy,20183.1,13,5f9deed1-7033-46ba-bba3-508892c46f32
BWLPG.OL,2023-08-01 - 09:15:00,106.3,106.3,112.0,Buy,7801.28,14,2a74268b-4e58-426d-b2aa-ac5afa8d247d
MPCC.OL,2023-08-01 - 09:15:00,18.43,18.43,423.0,Buy,-306.45,15,eb3e2087-07cf-4c7b-b28d-29069ced648d
SHLF.OL,2023-08-01 - 09:30:00,24.9,24.3,960.0,Sell,22641.39,16,f95a3be8-4bfa-4853-bf38-a31ae4b5e016
RECSI.OL,2023-08-01 - 09:30:00,17.46,17.425,465.0,Sell,30435.53,17,7093e9ea-d22b-43cf-a871-098511f32d26
AKRBP.OL,2023-08-01 - 10:15:00,280.6,280.6,126.0,Sell,64376.91,18,7f8d3ad3-dfe6-433d-9183-6a0602299282
AKSO.OL,2023-08-01 - 13:45:00,44.66,44.9,529.0,Sell,87057.05,19,02f7b977-d2bc-43eb-8398-e098e3d5cdd7
AUTO.OL,2023-08-01 - 14:30:00,25.17,25.15,476.0,Buy,74596.89,20,03afae53-4df8-4c20-9cd1-189426870fd0
BWLPG.OL,2023-08-01 - 14:30:00,108.4,108.4,224.0,Sell,97907.23,21,85ca845e-0eb8-4d27-ab61-8798d45687ca
RECSI.OL,2023-08-01 - 14:30:00,17.27,17.26,463.0,Buy,89591.37,22,583d1ee1-be5d-47eb-912a-91f596303ffb
DNO.OL,2023-08-02 - 09:00:00,10.98,10.96,728.0,Buy,81278.2,23,8237745a-ed77-48eb-a66a-a0091911b49e
SDRL.OL,2023-08-02 - 09:00:00,483.0,481.0,16.0,Buy,73241.08,24,0b64a0c3-b158-45d6-88bd-1e76e6d58af0
SCATC.OL,2023-08-02 - 09:00:00,84.5,83.7,94.0,Buy,64980.36,25,23e94ae5-bceb-4005-b471-dd1ded93800d
FRO.OL,2023-08-02 - 09:15:00,170.84,169.1,70.0,Buy,52543.21,26,504956e1-abd1-4397-bebc-85123548e159
DNO.OL,2023-08-02 - 09:15:00,10.98,10.92,728.0,Buy,44230.03,27,962063e7-e363-4488-9951-1201546929e3
SDRL.OL,2023-08-02 - 09:15:00,480.5,481.0,16.0,Buy,36234.51,28,d484ca7b-79bb-4877-a7e6-8994dba1d401
SCATC.OL,2023-08-02 - 09:15:00,84.4,83.3,94.0,Buy,27983.56,29,567ff598-d998-4dfd-bc35-a344a1f43fa8
AUTO.OL,2023-08-02 - 09:30:00,24.76,24.74,476.0,Sell,39297.89,30,76852e8d-3296-4a1a-b243-491ce1ddb893
SDRL.OL,2023-08-02 - 09:30:00,479.5,480.0,16.0,Buy,31319.01,31,1eb957ba-d0d0-4a5c-ba54-8674a1eba490
SCATC.OL,2023-08-02 - 09:30:00,84.0,84.15,95.0,Buy,23019.81,32,5412a9a7-ce8f-411b-9478-48844d44346e
DNO.OL,2023-08-02 - 09:45:00,10.94,10.96,731.0,Buy,14702.79,33,f27e0fc0-aece-4829-80f4-3327d8c8f2f7
FRO.OL,2023-08-02 - 10:00:00,168.6,170.9,71.0,Buy,2253.36,34,8ace5208-3abd-4783-8100-b1d4d8509151
AKSO.OL,2023-08-02 - 10:30:00,44.28,44.26,50.0,Buy,-49.2,35,29d50f92-5a7f-4c3b-81e3-a9f0d33318ae
RECSI.OL,2023-08-02 - 13:15:00,17.35,17.34,463.0,Sell,7662.53,36,9fd489f9-894d-4e2c-adb6-e247472b5c93
AKSO.OL,2023-08-02 - 15:30:00,44.28,44.56,173.0,Buy,-304.32,37,88559607-a36c-4477-a884-41df1e21651c
MPCC.OL,2023-08-03 - 09:00:00,18.845,18.845,1071.0,Sell,19071.35,38,134ea43d-1e29-40fc-a57e-386f1c22b365
BWLPG.OL,2023-08-03 - 09:15:00,109.2,109.2,109.0,Buy,6692.44,39,749137b6-f6f0-4731-9379-f02bc689fb5e
FRO.OL,2023-08-03 - 09:15:00,170.98,175.96,211.0,Sell,41326.15,40,fda49dfe-ae08-4d24-aba4-5a8999a46507
AKSO.OL,2023-08-03 - 09:15:00,44.04,44.04,181.0,Buy,33036.06,41,6e417189-07ee-4630-9f31-0c41069ef003
BWLPG.OL,2023-08-03 - 09:30:00,108.7,108.7,110.0,Buy,20600.78,42,876acb44-2b4a-4cb1-9a88-d5a57be583d4
